bs, count, timevalue
1,1,0.000131542
1,1,0.000107874
1,1,0.000100601
1,1,9.8292e-05
1,1,9.9335e-05
1,1,0.000110436
1,1,0.000100851
1,1,0.000100422
1,1,9.9883e-05
1,1,0.000100452
1,1,9.9512e-05
1,1,0.00010132
1,1,9.7763e-05
1,1,0.000251206
1,1,0.000100075
1,1,0.000101052
1,1,0.000112095
1,1,0.00010265
1,1,0.000102871
1,1,9.7685e-05
1,1,0.000101123
1,1,0.000101274
1,1,0.000101732
1,1,0.000103949
1,1,0.000104037
1,1,0.000104557
1,1,9.9578e-05
1,1,0.000101987
1,1,9.6005e-05
1,1,0.000100846
1,1,0.000100349
1,1,0.000132558
1,1,9.7522e-05
1,1,9.8933e-05
1,1,0.000101108
1,1,0.0001011
1,1,9.8016e-05
1,1,9.9426e-05
1,1,0.000101146
1,1,9.8498e-05
1,1,0.000101754
1,1,0.000101239
1,1,9.8274e-05
1,1,9.5873e-05
1,1,9.9952e-05
1,1,0.000100056
1,1,9.8454e-05
1,1,0.000100443
1,1,0.000248126
1,1,0.000115957
1,1,0.000139972
1,1,0.00013358
1,1,0.0001126
1,1,0.000103945
1,1,0.000106125
1,1,0.000104301
1,1,0.000110742
1,1,0.000100197
1,1,9.8634e-05
1,1,9.5923e-05
1,1,0.000104984
1,1,0.000242696
1,1,0.000100472
1,1,0.00011471
1,1,9.5488e-05
1,1,9.683e-05
1,1,0.000104843
1,1,9.7032e-05
1,1,9.8755e-05
1,1,0.00011473
1,1,9.7992e-05
1,1,0.000100059
1,1,0.00010163
1,1,9.6624e-05
1,1,0.000111636
1,1,0.000102059
1,1,9.8443e-05
1,1,9.6207e-05
1,1,9.7753e-05
1,1,0.000111
1,1,9.858e-05
1,1,9.6702e-05
1,1,9.5489e-05
1,1,9.807e-05
1,1,0.000238531
1,1,0.000105585
1,1,0.000101874
1,1,0.000110883
1,1,0.000100359
1,1,0.000104618
1,1,0.000111067
1,1,0.000103524
1,1,0.000103723
1,1,0.000232407
