bs, count, timevalue
1,1,0.000127719
1,1,0.000114936
1,1,0.000102949
1,1,9.3503e-05
1,1,0.000106635
1,1,9.6869e-05
1,1,9.1515e-05
1,1,9.4827e-05
1,1,9.3192e-05
1,1,0.000322556
1,1,9.2684e-05
1,1,9.2965e-05
1,1,9.2201e-05
1,1,0.000101517
1,1,0.000101195
1,1,0.000102261
1,1,9.9373e-05
1,1,9.5525e-05
1,1,9.64e-05
1,1,9.9386e-05
1,1,9.4523e-05
1,1,0.000102749
1,1,9.3572e-05
1,1,9.5202e-05
1,1,0.000106509
1,1,9.8014e-05
1,1,0.000103705
1,1,9.7739e-05
1,1,9.9902e-05
1,1,9.832e-05
1,1,0.000219724
1,1,9.9328e-05
1,1,9.829e-05
1,1,9.8364e-05
1,1,9.871e-05
1,1,0.000108565
1,1,9.7277e-05
1,1,9.9788e-05
1,1,9.8625e-05
1,1,9.6949e-05
1,1,9.8401e-05
1,1,9.7495e-05
1,1,0.00010046
1,1,9.4083e-05
1,1,9.8822e-05
1,1,9.959e-05
1,1,9.8162e-05
1,1,9.7954e-05
1,1,9.8685e-05
1,1,9.8366e-05
1,1,9.6112e-05
1,1,9.8937e-05
1,1,9.8291e-05
1,1,9.4643e-05
1,1,9.9094e-05
1,1,9.4976e-05
1,1,9.6113e-05
1,1,9.5347e-05
1,1,9.5738e-05
1,1,9.4938e-05
1,1,0.000180151
1,1,9.8048e-05
1,1,9.2724e-05
1,1,9.5515e-05
1,1,9.4246e-05
1,1,0.000104946
1,1,0.000111474
1,1,9.9128e-05
1,1,0.000101022
1,1,9.3251e-05
1,1,9.3929e-05
1,1,9.5141e-05
1,1,9.7554e-05
1,1,9.5538e-05
1,1,9.1604e-05
1,1,0.000103961
1,1,9.5026e-05
1,1,9.4386e-05
1,1,9.4762e-05
1,1,9.636e-05
1,1,9.38e-05
1,1,9.2021e-05
1,1,9.7364e-05
1,1,9.2903e-05
1,1,0.000105281
1,1,9.7713e-05
1,1,0.000100631
1,1,9.7437e-05
1,1,9.9905e-05
1,1,0.00012607
1,1,0.000108481
1,1,0.000101523
1,1,0.000104309
1,1,0.000107865
1,1,0.000114805
1,1,0.0001035
1,1,0.000208898
1,1,0.000122346
1,1,0.000110115
1,1,0.000105368
1,1,0.000113853
1,1,0.000217936
1,1,0.000152931
1,1,0.000121145
1,1,0.00012589
1,1,0.000107633
1,1,0.000100423
1,1,0.00010022
1,1,0.000235788
1,1,9.7984e-05
1,1,9.7608e-05
1,1,9.6417e-05
1,1,0.000101333
1,1,9.8598e-05
1,1,9.5916e-05
1,1,9.5586e-05
1,1,9.6708e-05
1,1,0.000230477
1,1,9.6134e-05
1,1,9.8187e-05
1,1,9.9986e-05
1,1,9.5351e-05
1,1,9.7931e-05
1,1,9.4903e-05
1,1,9.3708e-05
1,1,9.8437e-05
1,1,9.8311e-05
1,1,9.916e-05
1,1,0.00010851
1,1,0.000102037
1,1,9.7604e-05
1,1,0.000100883
1,1,0.000122888
1,1,9.5172e-05
1,1,0.000110448
1,1,9.4424e-05
1,1,9.9314e-05
1,1,0.000125195
1,1,9.8858e-05
1,1,9.6099e-05
1,1,9.6063e-05
1,1,9.3973e-05
1,1,9.3201e-05
1,1,9.1689e-05
1,1,9.3844e-05
1,1,9.6055e-05
1,1,9.8607e-05
1,1,9.4201e-05
1,1,9.4706e-05
1,1,9.5722e-05
1,1,9.4485e-05
1,1,9.5003e-05
1,1,9.5147e-05
1,1,9.4872e-05
1,1,9.5555e-05
1,1,0.000226581
1,1,9.3317e-05
1,1,9.1931e-05
1,1,0.000219997
1,1,9.5314e-05
1,1,9.5673e-05
1,1,9.8647e-05
1,1,9.7386e-05
1,1,0.000107706
1,1,9.8477e-05
1,1,0.000102428
1,1,0.000101611
1,1,9.7177e-05
1,1,9.5096e-05
1,1,9.6206e-05
1,1,9.831e-05
1,1,9.1609e-05
1,1,9.5201e-05
1,1,9.5166e-05
1,1,9.7118e-05
1,1,9.4487e-05
1,1,9.4543e-05
1,1,9.5264e-05
1,1,9.9159e-05
1,1,9.995e-05
1,1,9.7326e-05
1,1,9.5776e-05
1,1,9.499e-05
1,1,0.000100162
1,1,9.5265e-05
1,1,0.000106121
1,1,0.000130094
1,1,0.000110669
1,1,0.0047009
1,1,0.000108761
1,1,0.00151588
1,1,0.000105225
1,1,0.000101952
1,1,0.000309563
1,1,9.8517e-05
1,1,9.8779e-05
1,1,9.453e-05
1,1,9.7161e-05
1,1,9.4158e-05
1,1,9.7002e-05
1,1,9.8183e-05
1,1,9.8525e-05
1,1,9.3257e-05
1,1,9.5347e-05
1,1,0.000104111
1,1,9.474e-05
1,1,9.4866e-05
1,1,9.7218e-05
1,1,9.562e-05
1,1,0.000101376
1,1,0.000101944
1,1,9.8017e-05
1,1,0.000107673
1,1,9.9746e-05
1,1,9.52e-05
1,1,0.000106683
1,1,0.000104728
1,1,9.7415e-05
1,1,9.4596e-05
1,1,9.4883e-05
1,1,9.9211e-05
1,1,0.00010532
1,1,0.000100428
1,1,9.6961e-05
1,1,9.6838e-05
1,1,9.6767e-05
1,1,9.4762e-05
1,1,9.4668e-05
1,1,9.6315e-05
1,1,9.3812e-05
1,1,9.4809e-05
1,1,9.8242e-05
1,1,9.8056e-05
1,1,9.7951e-05
1,1,0.000138425
1,1,9.7241e-05
1,1,0.000108498
1,1,9.8482e-05
1,1,9.4075e-05
1,1,0.000105156
1,1,9.6565e-05
1,1,0.000100095
1,1,9.6424e-05
1,1,9.6225e-05
1,1,9.9279e-05
1,1,0.000113645
1,1,0.000109209
1,1,0.000120823
1,1,0.000101648
1,1,0.000101629
1,1,0.000107194
1,1,9.8144e-05
1,1,9.5264e-05
1,1,0.000104592
1,1,9.5604e-05
1,1,9.7856e-05
1,1,9.769e-05
1,1,0.000128168
1,1,9.7477e-05
1,1,0.000104078
1,1,9.4213e-05
1,1,9.5011e-05
1,1,0.000136658
1,1,9.4566e-05
1,1,9.4588e-05
1,1,9.5956e-05
1,1,9.5656e-05
1,1,9.335e-05
1,1,9.4722e-05
1,1,9.2297e-05
1,1,9.0052e-05
1,1,9.1176e-05
1,1,0.000102989
1,1,9.0498e-05
1,1,9.6104e-05
1,1,9.3813e-05
1,1,9.2383e-05
1,1,0.0001024
1,1,9.7313e-05
1,1,9.4889e-05
1,1,9.3752e-05
1,1,9.5013e-05
1,1,0.00010652
1,1,9.306e-05
1,1,9.6823e-05
1,1,9.634e-05
1,1,9.396e-05
1,1,9.7518e-05
1,1,9.404e-05
1,1,9.5983e-05
1,1,9.2869e-05
1,1,9.6388e-05
1,1,9.497e-05
1,1,9.2284e-05
1,1,9.4365e-05
1,1,9.4052e-05
1,1,9.3983e-05
1,1,0.00012656
1,1,0.00011592
1,1,0.000106621
1,1,9.9037e-05
1,1,0.000114394
1,1,0.000111669
1,1,0.000102496
1,1,0.000112552
1,1,0.000105906
1,1,0.000100592
1,1,0.000101037
1,1,0.000109095
1,1,0.000100654
1,1,9.6971e-05
1,1,9.5938e-05
1,1,0.000100679
1,1,0.000100689
1,1,0.000103536
1,1,0.000110479
1,1,0.000104125
1,1,0.000101137
1,1,0.000110466
1,1,0.000243366
1,1,0.000100226
1,1,0.000100955
1,1,9.8319e-05
1,1,0.000112629
1,1,9.8612e-05
1,1,9.6447e-05
1,1,0.000105364
1,1,9.4372e-05
1,1,9.5092e-05
1,1,9.8303e-05
1,1,0.000102387
1,1,9.5243e-05
1,1,0.000101258
1,1,0.000103757
1,1,9.7483e-05
1,1,0.00011769
1,1,9.6197e-05
1,1,9.7166e-05
1,1,9.684e-05
1,1,9.9701e-05
1,1,9.6649e-05
1,1,9.6962e-05
1,1,9.977e-05
1,1,0.000136946
1,1,0.000106819
1,1,9.679e-05
1,1,9.294e-05
1,1,9.4663e-05
1,1,9.4452e-05
1,1,9.4936e-05
1,1,9.6256e-05
1,1,0.000107126
1,1,0.00143012
1,1,0.000106949
1,1,0.000101977
1,1,9.6938e-05
1,1,0.000109852
1,1,9.8141e-05
1,1,9.6486e-05
1,1,0.000101439
1,1,9.5424e-05
1,1,0.000123114
1,1,0.000105746
1,1,9.4599e-05
1,1,9.4418e-05
1,1,0.000109636
1,1,9.9026e-05
1,1,9.5911e-05
1,1,9.7793e-05
1,1,9.7069e-05
1,1,9.5746e-05
1,1,9.4465e-05
1,1,0.000103542
1,1,9.3188e-05
1,1,9.4104e-05
1,1,9.4547e-05
1,1,9.5668e-05
1,1,9.5715e-05
1,1,9.6524e-05
1,1,0.000106818
1,1,0.000109973
1,1,0.000109866
1,1,0.000100206
1,1,9.9824e-05
1,1,9.7938e-05
1,1,9.5462e-05
1,1,0.000113238
1,1,9.4758e-05
1,1,9.259e-05
1,1,0.000102351
1,1,0.000100067
1,1,0.000220595
1,1,9.9932e-05
1,1,9.9146e-05
1,1,9.6349e-05
1,1,9.8745e-05
1,1,9.747e-05
1,1,9.6523e-05
1,1,9.7683e-05
1,1,0.000120089
1,1,9.8124e-05
1,1,9.7822e-05
1,1,0.000100516
1,1,9.9445e-05
1,1,0.00010067
1,1,0.000102467
1,1,0.000226287
1,1,9.9635e-05
1,1,9.6608e-05
1,1,0.000228273
1,1,9.2327e-05
1,1,9.2489e-05
