bs, count, timevalue
1,1,0.000194236
1,1,0.000175362
1,1,0.000140687
1,1,0.000136218
1,1,0.000264905
1,1,0.000140693
1,1,0.000142408
1,1,0.000150464
1,1,0.0001461
1,1,0.000140431
1,1,0.000143413
1,1,0.00013132
1,1,0.000133091
1,1,0.000133803
1,1,0.000143142
1,1,0.000143573
1,1,0.000140043
1,1,0.00013814
1,1,0.000175329
1,1,0.00014936
1,1,0.000134997
1,1,0.000147869
1,1,0.000236185
1,1,0.000135242
1,1,0.00012939
1,1,0.000125969
1,1,0.000265444
1,1,0.000202975
1,1,0.000152369
1,1,0.000137215
1,1,0.000246907
1,1,0.000179526
1,1,0.000139319
1,1,0.000262568
1,1,0.000133686
1,1,0.000141823
1,1,0.000129892
1,1,0.000127903
1,1,0.000127059
1,1,0.000258662
1,1,0.000192151
1,1,0.000148022
1,1,0.000166783
1,1,0.000136785
1,1,0.0001651
1,1,0.000139811
1,1,0.000135144
1,1,0.000142706
1,1,0.000126013
1,1,0.000134685
1,1,0.000125423
1,1,0.000136383
1,1,0.000137649
1,1,0.000128154
1,1,0.000128353
1,1,0.000128442
1,1,0.000126923
1,1,0.000132253
1,1,0.000123572
1,1,0.000126552
1,1,0.000125733
1,1,0.000120741
1,1,0.000121093
1,1,0.000139029
1,1,0.00024578
1,1,0.000134732
1,1,0.000123967
1,1,0.000121781
1,1,0.000121239
1,1,0.00012964
1,1,0.000121911
1,1,0.000127792
1,1,0.000123371
1,1,0.000195242
1,1,0.000129363
1,1,0.000116598
1,1,0.000147295
1,1,0.000129582
1,1,0.000247141
1,1,0.000124742
1,1,0.000122725
1,1,0.000125512
1,1,0.000121951
1,1,0.000122743
1,1,0.000122887
1,1,0.00012576
1,1,0.000119332
1,1,0.000125764
1,1,0.000121614
1,1,0.000238671
1,1,0.000125172
1,1,0.000121635
1,1,0.000119672
1,1,0.000122024
1,1,0.000124087
1,1,0.000133866
1,1,0.000121164
1,1,0.0001211
1,1,0.000132714
1,1,0.000122355
1,1,0.000124897
1,1,0.000125798
1,1,0.000126104
1,1,0.000122813
1,1,0.000123704
1,1,0.0001238
1,1,0.000124337
1,1,0.00014764
1,1,0.000136975
1,1,0.000247548
1,1,0.000134621
1,1,0.000131417
1,1,0.00024106
1,1,0.000135271
1,1,0.000125133
1,1,0.000127962
1,1,0.000135014
1,1,0.000125651
1,1,0.000123396
1,1,0.000124597
1,1,0.000121763
1,1,0.000120096
1,1,0.000121878
1,1,0.000133079
1,1,0.000392392
1,1,0.000130737
1,1,0.000133765
1,1,0.0001483
1,1,0.000124695
1,1,0.000132131
1,1,0.000243912
1,1,0.000122808
1,1,0.000124979
1,1,0.000121331
1,1,0.000128825
1,1,0.000141222
1,1,0.000259032
1,1,0.000147724
1,1,0.000135032
1,1,0.000144544
1,1,0.000196139
1,1,0.000309576
1,1,0.000149894
1,1,0.000140668
1,1,0.000155641
1,1,0.00026888
1,1,0.000132126
1,1,0.000134541
1,1,0.000137296
1,1,0.000131148
1,1,0.000130881
1,1,0.000132252
1,1,0.000134987
1,1,0.000131903
1,1,0.000126667
1,1,0.000132813
1,1,0.00012503
1,1,0.000240397
1,1,0.000123754
1,1,0.000151079
1,1,0.000129789
1,1,0.000136749
1,1,0.000133792
1,1,0.000322731
1,1,0.000291096
1,1,0.000156075
1,1,0.000239322
1,1,0.000193943
1,1,0.000170204
1,1,0.00014951
1,1,0.000241761
1,1,0.000137066
1,1,0.000139525
1,1,0.000130242
1,1,0.000131132
1,1,0.000127231
1,1,0.000121969
1,1,0.000129498
1,1,0.000131897
1,1,0.000245326
1,1,0.000122265
1,1,0.000122969
1,1,0.000122402
1,1,0.000123551
1,1,0.000124381
1,1,0.000139406
1,1,0.000125856
1,1,0.000134442
1,1,0.000127944
1,1,0.000123686
1,1,0.000125381
1,1,0.000137292
1,1,0.000126965
1,1,0.000119905
1,1,0.000134377
1,1,0.000127946
1,1,0.000234021
1,1,0.000133237
1,1,0.000121068
1,1,0.000123366
1,1,0.000120133
1,1,0.000135017
1,1,0.000122169
1,1,0.000136664
1,1,0.000122281
1,1,0.000132895
1,1,0.000123581
1,1,0.000231675
1,1,0.000119315
1,1,0.000123475
1,1,0.000123151
1,1,0.000117978
1,1,0.000169893
1,1,0.000119977
1,1,0.000123152
1,1,0.000118424
1,1,0.000127352
1,1,0.000125246
1,1,0.000122402
1,1,0.000118069
1,1,0.000124158
1,1,0.000118157
1,1,0.000118746
1,1,0.00013307
1,1,0.000120516
1,1,0.000127036
1,1,0.000121746
1,1,0.000127533
1,1,0.000127146
1,1,0.000130974
1,1,0.000160039
1,1,0.000130081
1,1,0.000122135
1,1,0.000124139
1,1,0.000128463
1,1,0.000249389
1,1,0.000126182
1,1,0.000130363
1,1,0.000126298
1,1,0.000125678
1,1,0.000127989
1,1,0.000126229
1,1,0.000118975
1,1,0.000119491
1,1,0.000132519
1,1,0.000121741
1,1,0.000143261
1,1,0.000147169
1,1,0.000143605
1,1,0.000138378
1,1,0.000229481
1,1,0.00013391
1,1,0.000129843
1,1,0.000127543
1,1,0.000136055
1,1,0.000141813
1,1,0.00013258
1,1,0.000125186
1,1,0.000135574
1,1,0.000120866
1,1,0.000125405
1,1,0.000129226
1,1,0.000257674
1,1,0.0001328
1,1,0.000126664
1,1,0.00023736
1,1,0.000129261
1,1,0.000123752
1,1,0.000120371
1,1,0.000122211
1,1,0.000132523
1,1,0.000120117
1,1,0.00012963
1,1,0.00013171
1,1,0.000125961
1,1,0.000120455
1,1,0.000118151
1,1,0.000118426
1,1,0.000129199
1,1,0.000119503
1,1,0.000120811
1,1,0.00012752
1,1,0.000124381
1,1,0.000121292
1,1,0.000126023
1,1,0.000201098
1,1,0.000144227
1,1,0.000137903
1,1,0.00012297
1,1,0.000126113
1,1,0.000128397
1,1,0.000120358
1,1,0.000119066
1,1,0.000133644
1,1,0.00012263
1,1,0.000133156
1,1,0.00012162
1,1,0.000119554
1,1,0.000122446
1,1,0.000120194
1,1,0.000131058
1,1,0.000132267
1,1,0.000121304
1,1,0.000129733
1,1,0.000131339
1,1,0.000128657
1,1,0.000125051
1,1,0.000128703
1,1,0.000127377
1,1,0.000121076
1,1,0.000121965
1,1,0.000130658
1,1,0.000123411
1,1,0.000117033
1,1,0.000121604
1,1,0.000122292
1,1,0.000155311
1,1,0.000120923
1,1,0.000120148
1,1,0.000131703
1,1,0.000121956
1,1,0.000116329
1,1,0.000121715
1,1,0.000132044
1,1,0.000239236
1,1,0.000119069
1,1,0.000130529
1,1,0.000116922
1,1,0.000128378
1,1,0.000119101
1,1,0.000124638
1,1,0.000121122
1,1,0.000128795
1,1,0.000120383
1,1,0.000131465
1,1,0.000123441
1,1,0.000119731
1,1,0.000124924
1,1,0.00025204
1,1,0.000126296
1,1,0.000129691
1,1,0.00012518
1,1,0.000142349
1,1,0.000137703
1,1,0.00012629
1,1,0.000135773
1,1,0.000125989
1,1,0.000122264
1,1,0.000124623
1,1,0.000124897
1,1,0.000120532
1,1,0.000133472
1,1,0.00026318
1,1,0.000122299
1,1,0.000133435
1,1,0.000131445
1,1,0.000127591
1,1,0.000141377
1,1,0.000124836
1,1,0.000122422
1,1,0.00012077
1,1,0.000118371
1,1,0.000129009
1,1,0.000125938
1,1,0.000236285
1,1,0.000123017
1,1,0.000120665
1,1,0.000126787
1,1,0.000131028
1,1,0.000141358
1,1,0.000125408
1,1,0.000126495
1,1,0.000125862
1,1,0.00012326
1,1,0.000124426
1,1,0.000122437
1,1,0.000121771
1,1,0.000122127
1,1,0.00012058
1,1,0.00012564
1,1,0.000129615
1,1,0.000279482
1,1,0.000125576
1,1,0.00014109
1,1,0.000269121
1,1,0.000126396
1,1,0.000121592
1,1,0.000118732
1,1,0.000117099
1,1,0.000124764
1,1,0.000118695
1,1,0.000124572
1,1,0.000167078
1,1,0.00012296
1,1,0.000130044
1,1,0.000239969
1,1,0.000122174
1,1,0.000120114
1,1,0.000125871
1,1,0.000122241
1,1,0.000125263
1,1,0.000120671
1,1,0.000122359
1,1,0.000127085
1,1,0.000136929
1,1,0.000141804
1,1,0.000304724
1,1,0.000144355
1,1,0.00013732
1,1,0.000138851
1,1,0.000138791
1,1,0.000128073
1,1,0.000126687
1,1,0.000249091
1,1,0.000124389
1,1,0.000134834
1,1,0.000119134
1,1,0.000122667
1,1,0.000130951
1,1,0.000126477
1,1,0.000131311
1,1,0.000163066
1,1,0.000131193
1,1,0.00013318
1,1,0.000151539
1,1,0.000281475
1,1,0.000166993
1,1,0.000143395
1,1,0.000218648
1,1,0.000237599
1,1,0.00021873
1,1,0.000158754
1,1,0.000155064
1,1,0.000142248
1,1,0.000142783
1,1,0.000132885
1,1,0.000132789
1,1,0.000128828
1,1,0.000188211
1,1,0.000270177
1,1,0.000147504
1,1,0.00017251
1,1,0.00017308
1,1,0.000145669
1,1,0.000170799
1,1,0.000166539
1,1,0.000192673
1,1,0.000238385
1,1,0.000205269
1,1,0.00016489
1,1,0.000184218
1,1,0.000176226
1,1,0.000209097
1,1,0.000163536
1,1,0.000215694
1,1,0.00014176
1,1,0.000135717
1,1,0.000165222
1,1,0.000142646
1,1,0.000136251
1,1,0.000259225
1,1,0.000141317
1,1,0.000137759
1,1,0.000151624
1,1,0.000132733
1,1,0.000150571
1,1,0.000204665
1,1,0.000150423
1,1,0.000138455
1,1,0.000125817
1,1,0.000136487
1,1,0.000129859
1,1,0.0001362
1,1,0.000148533
1,1,0.000148916
1,1,0.000132851
1,1,0.000139228
1,1,0.00012529
1,1,0.000142507
1,1,0.000149972
1,1,0.000135135
1,1,0.000139731
1,1,0.000141681
1,1,0.000158547
1,1,0.000256286
1,1,0.000136813
1,1,0.000145856
1,1,0.000142764
1,1,0.000151654
1,1,0.00012898
1,1,0.000125129
1,1,0.000128828
1,1,0.000122762
1,1,0.000147729
1,1,0.000121165
1,1,0.000121506
1,1,0.000248761
