bs, count, timevalue
1,1,0.000125079
1,1,0.000181231
1,1,0.000147003
1,1,0.00126288
1,1,0.000140753
1,1,0.000139853
1,1,0.000132793
1,1,0.000263074
1,1,0.00156307
1,1,0.000154689
1,1,0.000154888
1,1,0.000145516
1,1,0.000142693
1,1,0.00144493
1,1,0.000151979
1,1,0.000140578
1,1,0.000142997
1,1,0.000142855
1,1,0.00130119
1,1,0.000135532
1,1,0.000142116
1,1,0.000140874
1,1,0.000142056
1,1,0.00112735
1,1,0.000156279
1,1,0.000138709
1,1,0.000152658
1,1,0.00014077
1,1,0.00131905
1,1,0.000141671
1,1,0.000145503
1,1,0.000141259
1,1,0.000182513
1,1,0.00137184
1,1,0.000142066
1,1,0.000145858
1,1,0.00015024
1,1,0.000145108
1,1,0.00118793
1,1,0.000135672
1,1,0.000135694
1,1,0.000155983
1,1,0.000140404
1,1,0.001271
1,1,0.000149706
1,1,0.000165414
1,1,0.000181464
1,1,0.000167071
1,1,0.00160225
1,1,0.000155887
1,1,0.000366952
1,1,0.000163671
1,1,0.000148308
1,1,0.00139189
1,1,0.000165026
1,1,0.000142928
1,1,0.000165876
1,1,0.000151291
1,1,0.00116895
1,1,0.000142517
1,1,0.000135043
1,1,0.000141004
1,1,0.00013757
1,1,0.00134423
1,1,0.000193658
1,1,0.000157311
1,1,0.000142229
1,1,0.000135976
1,1,0.00127348
1,1,0.000137515
1,1,0.000137427
1,1,0.000135977
1,1,0.000137776
1,1,0.00133745
1,1,0.000139299
1,1,0.000153236
1,1,0.000160257
1,1,0.000152799
1,1,0.00137306
1,1,0.000164382
1,1,0.000159102
1,1,0.000149576
1,1,0.000143934
1,1,0.001411
1,1,0.00014473
1,1,0.000139955
1,1,0.000140068
1,1,0.000143378
1,1,0.00136317
1,1,0.000159594
1,1,0.000156267
1,1,0.000136648
1,1,0.000137382
1,1,0.00123144
1,1,0.000136244
1,1,0.000140479
1,1,0.000143636
1,1,0.000134783
1,1,0.00145716
1,1,0.00014376
1,1,0.000137198
1,1,0.000140135
1,1,0.000131881
1,1,0.00150306
1,1,0.000136864
1,1,0.000159591
1,1,0.000134402
1,1,0.000134074
1,1,0.00113621
1,1,0.000136525
1,1,0.000143039
1,1,0.000159472
1,1,0.00021802
1,1,0.001405
1,1,0.000163288
1,1,0.000145818
1,1,0.000155713
1,1,0.000139556
1,1,0.00113836
1,1,0.00016715
1,1,0.000155909
1,1,0.000162745
1,1,0.000152066
1,1,0.00145954
1,1,0.000140693
1,1,0.000138017
1,1,0.000145374
1,1,0.000139717
1,1,0.00117745
1,1,0.000138438
1,1,0.000138066
1,1,0.000164384
1,1,0.000149912
1,1,0.00147614
1,1,0.000145383
1,1,0.000264449
1,1,0.000229067
1,1,0.000144152
